Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither,Restricted Decision,Restriced Shape Value,Restricted Texture Value,Restricted Shape Decision,Restricted Texture Decision
bicycle,oven3,knife,0.00020269043,0.0009311421,0.0038182102,0,0,1,oven,,,0,1
bicycle,airplane2,knife,0.0001695528,1.6997072e-05,0.0036985963,0,0,1,bicycle,,,1,0
bicycle,bicycle3,cat,0.00024218256,0.00024218256,0.0022711656,0,0,1,bicycle,,,1,1
bicycle,boat2,knife,0.00031945237,6.4903164e-05,0.0045588915,0,0,1,bicycle,,,1,0
bicycle,car2,knife,0.00019162972,4.248256e-05,0.0021306295,0,0,1,bicycle,,,1,0
bicycle,cat1,bottle,0.00018247207,0.0011892527,0.0036397856,0,0,1,cat,,,0,1
bicycle,dog2,bottle,0.00031866596,0.001625066,0.0023800468,0,0,1,dog,,,0,1
bicycle,bear2,bottle,0.00017840184,8.9018504e-05,0.002936454,0,0,1,bicycle,,,1,0
bicycle,bicycle2,bottle,0.00013950947,0.00013950947,0.002576446,0,0,1,bicycle,,,1,1
bicycle,cat1,bottle,0.00018247207,0.0011892527,0.0036397856,0,0,1,cat,,,0,1
bicycle,clock3,bottle,0.00015399061,0.0004766096,0.0035033186,0,0,1,clock,,,0,1
bicycle,elephant2,bottle,0.0006770843,0.0002306407,0.002085562,0,0,1,bicycle,,,1,0
bicycle,knife2,bottle,0.0001807338,0.0014064832,0.0021543356,0,0,1,knife,,,0,1
bicycle,oven1,knife,0.00017426864,0.0008196758,0.004471172,0,0,1,oven,,,0,1
bicycle,truck3,knife,0.0001945848,5.402638e-05,0.0023470859,0,0,1,bicycle,,,1,0
bicycle,bear2,bottle,0.00017840184,8.9018504e-05,0.002936454,0,0,1,bicycle,,,1,0
bicycle,bird2,bottle,0.00033784902,0.00026185138,0.00235818,0,0,1,bicycle,,,1,0
bicycle,boat1,knife,0.00020533492,0.00013928353,0.0026789706,0,0,1,bicycle,,,1,0
bicycle,chair2,knife,0.0003860488,0.00058903015,0.0024989918,0,0,1,chair,,,0,1
bicycle,clock3,bottle,0.00015399061,0.0004766096,0.0035033186,0,0,1,clock,,,0,1
bicycle,truck1,knife,0.0002663692,8.642976e-05,0.0028855572,0,0,1,bicycle,,,1,0
bicycle,airplane2,knife,0.0001695528,1.6997072e-05,0.0036985963,0,0,1,bicycle,,,1,0
bicycle,bear1,knife,0.0002967897,7.24233e-05,0.003879196,0,0,1,bicycle,,,1,0
bicycle,bird3,bottle,0.0003206762,0.00028718644,0.0023705761,0,0,1,bicycle,,,1,0
bicycle,bottle1,bottle,0.0002546674,0.0033613644,0.0033613644,0,1,0,bottle,,,0,1
bicycle,car1,knife,0.0002279583,3.791267e-05,0.0017686096,0,0,1,bicycle,,,1,0
bicycle,cat3,bottle,0.00027415244,0.0009557386,0.0040765074,0,0,1,cat,,,0,1
bicycle,chair1,knife,0.00024344254,0.0005393703,0.0057804156,0,0,1,chair,,,0,1
bicycle,keyboard3,bottle,0.00017565093,0.00018358833,0.0033016421,0,0,1,keyboard,,,0,1
bicycle,knife3,bottle,0.0002522024,0.0025273045,0.0025601096,0,0,1,knife,,,0,1
