Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither,Restricted Decision,Restriced Shape Value,Restricted Texture Value,Restricted Shape Decision,Restricted Texture Decision
car,bear1,cat,5.343374e-06,0.0008789804,0.011925786,0,0,1,bear,,,0,1
car,bicycle3,boat,0.0010215685,0.0011004588,0.0024022977,0,0,1,bicycle,,,0,1
car,boat1,car,0.011463318,0.0044458797,0.011463318,1,0,0,car,,,1,0
car,bottle1,clock,0.000116811214,0.0005424266,0.001668573,0,0,1,bottle,,,0,1
car,chair3,airplane,0.00070944283,0.00056406565,0.0068580024,0,0,1,car,,,1,0
car,elephant3,cat,3.7724465e-06,0.0023336017,0.0027268867,0,0,1,elephant,,,0,1
car,knife1,truck,0.0018696062,0.0012974397,0.006939696,0,0,1,car,,,1,0
car,truck3,car,0.0045781136,0.002896011,0.0045781136,1,0,0,car,,,1,0
car,airplane2,car,0.024744274,0.01575395,0.024744274,1,0,0,car,,,1,0
car,bear1,cat,5.343374e-06,0.0008789804,0.011925786,0,0,1,bear,,,0,1
car,bird3,airplane,0.0006916984,8.8005385e-05,0.0009188452,0,0,1,car,,,1,0
car,boat3,truck,0.003973756,0.0013430627,0.0046868953,0,0,1,car,,,1,0
car,clock1,knife,0.0001029392,0.00023466151,0.0007655057,0,0,1,clock,,,0,1
car,dog3,dog,2.8405535e-05,0.003844537,0.003844537,0,1,0,dog,,,0,1
car,elephant3,cat,3.7724465e-06,0.0023336017,0.0027268867,0,0,1,elephant,,,0,1
car,keyboard3,car,0.012922742,0.00047015902,0.012922742,1,0,0,car,,,1,0
car,oven2,truck,0.0085058445,0.00026356956,0.04302126,0,0,1,car,,,1,0
car,airplane3,airplane,0.007484713,0.017896676,0.017896676,0,1,0,airplane,,,0,1
car,bear1,cat,5.343374e-06,0.0008789804,0.011925786,0,0,1,bear,,,0,1
car,bicycle2,bicycle,0.00032712726,0.0040918044,0.0040918044,0,1,0,bicycle,,,0,1
car,boat3,truck,0.003973756,0.0013430627,0.0046868953,0,0,1,car,,,1,0
car,cat1,cat,2.4609893e-05,0.0043450543,0.0043450543,0,1,0,cat,,,0,1
car,chair1,car,0.025318285,0.00024385357,0.025318285,1,0,0,car,,,1,0
car,clock2,clock,0.0019731987,0.005241604,0.005241604,0,1,0,clock,,,0,1
car,dog1,cat,2.0820496e-06,0.000839833,0.009573574,0,0,1,dog,,,0,1
car,knife2,car,0.01611898,0.00041034896,0.01611898,1,0,0,car,,,1,0
car,truck3,car,0.0045781136,0.002896011,0.0045781136,1,0,0,car,,,1,0
car,bicycle2,bicycle,0.00032712726,0.0040918044,0.0040918044,0,1,0,bicycle,,,0,1
car,bird1,knife,0.00038022982,0.00075768994,0.002366033,0,0,1,bird,,,0,1
car,cat1,cat,2.4609893e-05,0.0043450543,0.0043450543,0,1,0,cat,,,0,1
car,clock2,clock,0.0019731987,0.005241604,0.005241604,0,1,0,clock,,,0,1
car,keyboard2,car,0.015947267,0.0017787595,0.015947267,1,0,0,car,,,1,0
car,knife1,truck,0.0018696062,0.0012974397,0.006939696,0,0,1,car,,,1,0
car,truck3,car,0.0045781136,0.002896011,0.0045781136,1,0,0,car,,,1,0
