Anchor,Shape Match,Texture Match,Shape Dot,Shape Cos,Texture Dot,Texture Cos,Shape Dot Closer,Shape Cos Closer,Texture Dot Closer,Texture Cos Closer
cat9-bicycle1,cat9-knife2,airplane2-bicycle1,0.0005587428,0.3924461007118225,0.00062740827,0.22297453880310059,0,1,1,0
cat9-bicycle1,cat9-knife2,airplane5-bicycle1,0.0005587428,0.3924461007118225,0.00059875246,0.18296420574188232,0,1,1,0
cat9-bicycle1,cat9-knife2,bottle4-bicycle1,0.0005587428,0.3924461007118225,0.00053921825,0.30469560623168945,1,1,0,0
cat9-bicycle1,cat9-knife2,bottle8-bicycle1,0.0005587428,0.3924461007118225,0.0005349252,0.26668602228164673,1,1,0,0
cat9-bicycle1,cat9-knife2,bottle9-bicycle1,0.0005587428,0.3924461007118225,0.000543533,0.2304205298423767,1,1,0,0
cat9-bicycle1,cat9-knife2,keyboard5-bicycle1,0.0005587428,0.3924461007118225,0.00055051246,0.2016369104385376,1,1,0,0
cat9-bicycle1,cat9-knife2,keyboard6-bicycle1,0.0005587428,0.3924461007118225,0.00060730206,0.17409145832061768,0,1,1,0
cat9-bicycle1,cat9-knife2,clock7-bicycle1,0.0005587428,0.3924461007118225,0.00051913864,0.43453526496887207,1,0,0,1
cat9-bicycle1,cat9-knife2,clock6-bicycle1,0.0005587428,0.3924461007118225,0.00057089876,0.23486655950546265,0,1,1,0
cat9-bicycle1,cat9-knife2,clock2-bicycle1,0.0005587428,0.3924461007118225,0.0005293554,0.447796106338501,1,0,0,1
cat9-bicycle1,cat9-knife2,clock5-bicycle1,0.0005587428,0.3924461007118225,0.00053410407,0.3464708924293518,1,1,0,0
cat9-bicycle1,cat9-knife2,knife6-bicycle1,0.0005587428,0.3924461007118225,0.0006335412,0.1756337285041809,0,1,1,0
cat9-bicycle1,cat9-knife2,knife8-bicycle1,0.0005587428,0.3924461007118225,0.0006071522,0.17383641004562378,0,1,1,0
cat9-bicycle1,cat9-knife2,knife9-bicycle1,0.0005587428,0.3924461007118225,0.0005875877,0.16548538208007812,0,1,1,0
cat9-bicycle1,cat9-knife2,elephant6-bicycle1,0.0005587428,0.3924461007118225,0.00052573613,0.2600403428077698,1,1,0,0
cat9-bicycle1,cat9-chair2,cat10-bicycle1,0.00053907704,0.14287400245666504,0.00055919617,0.20512747764587402,0,0,1,1
cat9-bicycle1,cat9-chair2,cat3-bicycle1,0.00053907704,0.14287400245666504,0.00056493736,0.16215991973876953,0,0,1,1
cat9-bicycle1,cat9-chair2,dog4-bicycle1,0.00053907704,0.14287400245666504,0.00055082917,0.17470556497573853,0,0,1,1
cat9-bicycle1,cat9-chair2,dog6-bicycle1,0.00053907704,0.14287400245666504,0.0005791125,0.3603286147117615,0,0,1,1
cat9-bicycle1,cat9-chair2,dog10-bicycle1,0.00053907704,0.14287400245666504,0.000605164,0.45407652854919434,0,0,1,1
cat9-bicycle1,cat9-chair2,oven6-bicycle1,0.00053907704,0.14287400245666504,0.00055808993,0.2181318998336792,0,0,1,1
cat9-bicycle1,cat9-chair2,oven10-bicycle1,0.00053907704,0.14287400245666504,0.0005538609,0.3314114809036255,0,0,1,1
cat9-bicycle1,cat9-chair2,oven2-bicycle1,0.00053907704,0.14287400245666504,0.0005060865,0.45270538330078125,1,0,0,1
cat9-bicycle1,cat9-chair2,oven5-bicycle1,0.00053907704,0.14287400245666504,0.00056095334,0.2862151861190796,0,0,1,1
cat9-bicycle1,cat9-chair2,chair5-bicycle1,0.00053907704,0.14287400245666504,0.00053797825,0.6325471699237823,1,0,0,1
cat9-bicycle1,cat9-chair2,chair10-bicycle1,0.00053907704,0.14287400245666504,0.000538882,0.46903854608535767,1,0,0,1
cat9-bicycle1,cat9-chair2,truck3-bicycle1,0.00053907704,0.14287400245666504,0.00062446337,0.5621507167816162,0,0,1,1
cat9-bicycle1,cat9-chair2,truck6-bicycle1,0.00053907704,0.14287400245666504,0.0006251004,0.13798242807388306,0,1,1,0
cat9-bicycle1,cat9-chair2,truck10-bicycle1,0.00053907704,0.14287400245666504,0.0005567477,0.2740662693977356,0,0,1,1
cat9-bicycle1,cat9-chair2,bird5-bicycle1,0.00053907704,0.14287400245666504,0.00069150305,0.5680982172489166,0,0,1,1
cat9-bicycle1,cat9-chair2,bird10-bicycle1,0.00053907704,0.14287400245666504,0.00055282575,0.34447431564331055,0,0,1,1
cat9-bicycle1,cat9-chair2,airplane2-bicycle1,0.00053907704,0.14287400245666504,0.00062740827,0.22297453880310059,0,0,1,1
cat9-bicycle1,cat9-chair2,airplane5-bicycle1,0.00053907704,0.14287400245666504,0.00059875246,0.18296420574188232,0,0,1,1
cat9-bicycle1,cat9-chair2,bottle4-bicycle1,0.00053907704,0.14287400245666504,0.00053921825,0.30469560623168945,0,0,1,1
cat9-bicycle1,cat9-chair2,bottle8-bicycle1,0.00053907704,0.14287400245666504,0.0005349252,0.26668602228164673,1,0,0,1
cat9-bicycle1,cat9-chair2,bottle9-bicycle1,0.00053907704,0.14287400245666504,0.000543533,0.2304205298423767,0,0,1,1
cat9-bicycle1,cat9-chair2,keyboard5-bicycle1,0.00053907704,0.14287400245666504,0.00055051246,0.2016369104385376,0,0,1,1
cat9-bicycle1,cat9-chair2,keyboard6-bicycle1,0.00053907704,0.14287400245666504,0.00060730206,0.17409145832061768,0,0,1,1
cat9-bicycle1,cat9-chair2,clock7-bicycle1,0.00053907704,0.14287400245666504,0.00051913864,0.43453526496887207,1,0,0,1
cat9-bicycle1,cat9-chair2,clock6-bicycle1,0.00053907704,0.14287400245666504,0.00057089876,0.23486655950546265,0,0,1,1
cat9-bicycle1,cat9-chair2,clock2-bicycle1,0.00053907704,0.14287400245666504,0.0005293554,0.447796106338501,1,0,0,1
cat9-bicycle1,cat9-chair2,clock5-bicycle1,0.00053907704,0.14287400245666504,0.00053410407,0.3464708924293518,1,0,0,1
cat9-bicycle1,cat9-chair2,knife6-bicycle1,0.00053907704,0.14287400245666504,0.0006335412,0.1756337285041809,0,0,1,1
cat9-bicycle1,cat9-chair2,knife8-bicycle1,0.00053907704,0.14287400245666504,0.0006071522,0.17383641004562378,0,0,1,1
cat9-bicycle1,cat9-chair2,knife9-bicycle1,0.00053907704,0.14287400245666504,0.0005875877,0.16548538208007812,0,0,1,1
cat9-bicycle1,cat9-chair2,elephant6-bicycle1,0.00053907704,0.14287400245666504,0.00052573613,0.2600403428077698,1,0,0,1
